Seller,Product Description,Price
Amazon,"Samsung UN32N5300AFXZC 32"" 1080p Full HD Smart LED TV, Glossy Black [Canada Version]",$278.00
Visions,"Samsung 32"" Smart Full HD TV with Micro Dimming and Mobile to TV Screen Mirroring (UN32N5300)",$278
